updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600348,sh.600348,华阳股份,B06煤炭开采和洗选业,证监会行业分类
2026-06-22,SH600350,sh.600350,山东高速,G54道路运输业,证监会行业分类
2026-06-22,SH600351,sh.600351,亚宝药业,C27医药制造业,证监会行业分类
2026-06-22,SH600352,sh.600352,浙江龙盛,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600353,sh.600353,旭光电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600354,sh.600354,敦煌种业,A05农、林、牧、渔专业及辅助性活动,证监会行业分类
2026-06-22,SH600355,sh.600355,*ST精伦,,证监会行业分类
2026-06-22,SH600356,sh.600356,恒丰纸业,C22造纸和纸制品业,证监会行业分类
2026-06-22,SH600357,sh.600357,承德钒钛,,证监会行业分类
2026-06-22,SH600358,sh.600358,国旅联合,L72商务服务业,证监会行业分类
2026-06-22,SH600359,sh.600359,新农开发,A01农业,证监会行业分类
2026-06-22,SH600360,sh.600360,华微电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600361,sh.600361,创新新材,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600362,sh.600362,江西铜业,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600363,sh.600363,联创光电,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600365,sh.600365,ST通葡,F52零售业,证监会行业分类
2026-06-22,SH600366,sh.600366,宁波韵升,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600367,sh.600367,红星发展,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600368,sh.600368,五洲交通,G54道路运输业,证监会行业分类
2026-06-22,SH600369,sh.600369,西南证券,J67资本市场服务,证监会行业分类
